DATAFLOW,LAST UPDATE,freq,hhtyp,incgrp,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2013,6.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2014,6.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2015,5.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2016,3.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2017,3.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2018,2.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2019,2.8,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2020,2.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2021,2.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2022,2.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,CZ,2023,6.1,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2005,4.6,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2006,5.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2007,5.4,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2008,5.9,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2009,5.5,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2010,5.0,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2011,5.2,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2012,4.7,
ESTAT:ILC_MDES01(1.0),04/10/24 23:00:00,A,TOTAL,TOTAL,PC,DE,2013,5.3,
